=== 建筑目录 -> 中文名 -> 英文名 ===

机场           | Airport
公寓           | Apartment
街机房          | Arcade
疯人院          | Asylum
银行           | Bank
兵营           | Barracks
简易宿舍         | Bunkhouse
歌舞厅          | Cabaret
小屋           | Cabin
罐头厂          | Cannery
赌场           | Casino
大教堂          | Cathedral
礼拜堂          | Chapel
教堂           | Church
马戏团          | Circus
诊所           | Clinic
大学           | College
殖民           | Colonial
彩绘公寓楼        | Conventillo
法院           | Courthouse
乳制品厂         | Creamery
可下载内容        | DLC
码头           | Dock
无人机          | Drones
地牢           | Dungeon
大使馆          | Embassy
简陋住宅         | Flophouse
喷泉           | Fountain
杂货店          | Grocery
中学           | Highschool
医院           | Hospital
酒店           | Hotel
住房           | House
果汁厂          | Juicery
停船点          | Landing
世界奇观         | Landmarks
图书馆          | Library
游说           | Lobbyistico
木板！          | LumberMill
别墅           | Mansion
大陵墓          | Mausoleum
矿场           | Mine
内阁           | Ministry
汽车旅馆         | Motel
新闻界          | Newspaper
办公室          | Office
前哨站          | Outpost
皇宫           | Palace
海盗窟          | PirateCove
种植园          | Plantation
监狱           | Prison
牧场           | Ranch
回收装置         | Reclaimer
研究           | Research
糟糕洗衣店        | Restaurant
过山车          | Rollercoaster
棚屋           | Shack
造船厂          | Shipyard
呕吐者          | Spitter
广场           | Square
体育场          | Stadium
巨石阵          | Stonehenge
坦克           | Tank
制革厂          | Tannery
酒馆           | Tavern
能容纳{residences}个家庭的低质量住宅。租客的富有度至少为贫穷。产生微量污染。降低周遭安全度。 | Tenement
剧场           | Theater
隧道连接         | Tunnel
UI           | UI
升级           | Upgrades
库房           | Warehouse
哨塔           | Watchtower
工作模式         | Workmodes

=== 其他可能相关的英文名 ===
(你无权阅读此市民的思想)        | Work_Spy
{Amount}|plural(one=谍报,other=间谍) | {Amount}|plural(one=spy,other=spies)
{BuildingName} ({MineType}) | {MineType} {BuildingName}
{Current}/{Total}条无人机航线。 | {Current}/{Total} drone routes.
{MineType}矿          | {MineType} Mine
{agent}已被监禁          | {agent} is already in prison
{agent}正处在小队中        | {agent} is in a squad
·················    | Barracks Flavor Text
一个联合问题               | Have Guard Towers
一场对汪卡先生巧克力梦工厂参观金门票的追逐，变成了海岛崛起成为世界上最大甜品出口国的奇妙冒险故事。让全世界人民都吃上海岛的加料巧克力吧！ | MapSelectionDescriptionChocolateFactory
下令拘留此人。降低被捕者家属的认可度，并提高他们的反叛风险。一名被逮捕游客的家人将离开海岛并给出最低评级。被捕的游客获释后也会做出同样的举动。 | Puts this Tropican into a prison.
不幸的特工                | Agents of Misfortune
不是所有人都对国家安全有着同样的认同，因此所有人在被证明无害之前都将被认为是嫌疑人，而且证明不需要有证据。 | Security Surveillance flavor
不知道我们运的那些箱子里面是什么...? | Work_Docker
专业士兵                 | Professionel Soldiers
个人权利 - 必选 - 安保监视     | Security Surveillance
为士兵+5个人经验            | +5 personal experience for soldiers
为战争而奋斗               | For the war effort
为突击队驻地送去3000粪肥       | Deliver 3000 Manure to Commando Garrison
人力资源                 | More Soldiers
从机场来的间谍              | The Spy Who Came In From The Airport
你没有海岛币可挖掘            | You don't have any Tropocoins mined.
使用无人机运输资源            | Deliver resources with Drones
使用无人的士乘载居民           | Transport citizen using Drone Taxis
供应军队                 | Supply Military
保守派国防部部长             | Conservative Minister of Defense
假安保摄像头               | Fake Security Cameras
停泊                   | Docking
允许出口无人机              | Allow export of drones
全球疾病防治工作             | Global Disease Combat Effort
全部无人机类型              | All drone types
公共服务宣传塔              | PSAT Tower
兵工厂                  | Arsenal
兵工厂                  | Fort Arsenal modifier
兵营                   | Barracks
养殖某种指定牲畜以生产奶，肉类，羊毛，生皮或皮革。造成微量污染。 | Factory Ranch Introduction Text
军事力量                 | Military Strength
军事力量覆盖界面             | Military Strength Overlay.
军事力量：                | Military Strength:
军事基地                 | Army Base
军事政变结束了。             | Military coup has ended.
军事教育                 | Military Education
军事真理                 | The Military Truth
军国主义者国防部部长           | Militarist Minister of Defense
军工厂                  | Weapons Factory
军用弹性力量               | Military Flex
军警合一                 | Military Police
农业塔                  | Agriculture Tower
冬宫的庞大体积意在反映沙皇俄国的强大实力，以及其对清洁人员的鄙视。 | Winter Palace Flavor Text
冬日战士                 | Winter Soldiers
分派黑客对东宫实施夺宝。         | Steal the Winter Palace
切换皇宫自定义              | Toggle palace customization
前哨站                  | Outpost
动态防御                 | Dynamic Defense Workmode Name
劫掠 & 军队              | Military
劫掠 & 军队              | Raids & Military
医疗检查站                | Medical Checkpoint
卫兵！                  | Guards!
卷烟人的人生...如同雪茄一般高贵！   | Work_Cigar_Factory
取消军警合一               | Cancel Military Police
口罩厂                  | Mask Factory
可可种植园                | Cocoa plantation
可载人无人机               | Passenger drones
可载人无人机               | Passenger Drone
同时显示所有矿物储备，让你判断安放新采矿建筑的位置。 | AllMineralResourcesTooltip
名声与不幸                | Fame and Misfortunes
名声与机遇                | Fame and Fortunes
吸引游客                 | Attract X Tourists (Prisoners)
哨塔                   | Watchtower
囚犯                   | Prisoners
囚犯均无感染               | No infected Prisoners
囚犯收入                 | Prisoner income
因为总是有游戏主角来爬他们的哨塔解锁地图，哨塔守卫对此非常不爽。所以他们有的时候会把哨塔底下的草堆一把火烧了。 | Watchtower Flavor Text
